function_name,method_name,step,min,n_iter,n_fev,n_gev,converged,time_sec
quadratic,adadelta_method,0.100,"2.1333322077675363,-2.533329485226936",894,4476,895,True,0.01803874969482422
quadratic,adadelta_method,0.050,"2.1333322077675363,-2.533329485226936",894,4476,895,True,0.021117210388183594
quadratic,adadelta_method,0.010,"2.1333322077675363,-2.533329485226936",894,4476,895,True,0.018065929412841797
quadratic,adadelta_method,0.005,"2.1333322077675363,-2.533329485226936",894,4476,895,True,0.0185701847076416
quadratic,adadelta_method,0.001,"2.1333322077675363,-2.533329485226936",894,4476,895,True,0.018250226974487305
strong_convex,adadelta_method,0.100,"1.499999999978578,-0.0351322617356043",1000,5001,1000,False,0.019307613372802734
strong_convex,adadelta_method,0.050,"1.499999999978578,-0.0351322617356043",1000,5001,1000,False,0.019762754440307617
strong_convex,adadelta_method,0.010,"1.499999999978578,-0.0351322617356043",1000,5001,1000,False,0.01976799964904785
strong_convex,adadelta_method,0.005,"1.499999999978578,-0.0351322617356043",1000,5001,1000,False,0.019824504852294922
strong_convex,adadelta_method,0.001,"1.499999999978578,-0.0351322617356043",1000,5001,1000,False,0.020038843154907227
rosenbrock,adadelta_method,0.100,"0.5137451820920445,0.3657044345687427",1000,5001,1000,False,0.019288301467895508
rosenbrock,adadelta_method,0.050,"0.5137451820920445,0.3657044345687427",1000,5001,1000,False,0.023101329803466797
rosenbrock,adadelta_method,0.010,"0.5137451820920445,0.3657044345687427",1000,5001,1000,False,0.019716501235961914
rosenbrock,adadelta_method,0.005,"0.5137451820920445,0.3657044345687427",1000,5001,1000,False,0.022048234939575195
rosenbrock,adadelta_method,0.001,"0.5137451820920445,0.3657044345687427",1000,5001,1000,False,0.022551536560058594
