function_name,method_name,step,min,n_iter,n_fev,n_gev,converged,time_sec
quadratic,adagrad_method,0.100,"2.1311819073474165,-2.529274520349012",1000,5001,1000,False,0.016605377197265625
quadratic,adagrad_method,0.050,"1.93045431455082,-2.1886438389048553",1000,5001,1000,False,0.019731521606445312
quadratic,adagrad_method,0.010,"0.5816338200214881,-0.5911022401072549",1000,5001,1000,False,0.01717233657836914
quadratic,adagrad_method,0.005,"0.3003244134386862,-0.3025433321217132",1000,5001,1000,False,0.017124652862548828
quadratic,adagrad_method,0.001,"0.061466632281167874,-0.06155062203312287",1000,5001,1000,False,0.016750574111938477
strong_convex,adagrad_method,0.100,"1.4999344825573444,-0.020000000000056545",634,3176,635,True,0.010046243667602539
strong_convex,adagrad_method,0.050,"1.483880321742407,-0.019999999999900424",1000,5001,1000,False,0.016144990921020508
strong_convex,adagrad_method,0.010,"0.5676144101715024,-0.01999999999998332",1000,5001,1000,False,0.017734289169311523
strong_convex,adagrad_method,0.005,"0.2972082904828969,-0.020000000000000358",1000,5001,1000,False,0.016773223876953125
strong_convex,adagrad_method,0.001,"0.06135349658393876,-0.019998119883928665",1000,5001,1000,False,0.01922750473022461
rosenbrock,adagrad_method,0.100,"0.9017820070745654,0.8128087742191059",1000,5001,1000,False,0.01537013053894043
rosenbrock,adagrad_method,0.050,"0.9041166570772617,0.8170330025179833",1000,5001,1000,False,0.015957355499267578
rosenbrock,adagrad_method,0.010,"0.530610083226231,0.28120875645471505",1000,5001,1000,False,0.01538848876953125
rosenbrock,adagrad_method,0.005,"0.2903202806913906,0.0841946088373032",1000,5001,1000,False,0.016669511795043945
rosenbrock,adagrad_method,0.001,"0.061124545112448386,0.0037324138629772647",1000,5001,1000,False,0.015450477600097656
