function_name,method_name,step,min,n_iter,n_fev,n_gev,converged,time_sec
quadratic,adam_method,0.100,"2.133321374522234,-2.5333156675475963",228,1146,229,True,0.005768775939941406
quadratic,adam_method,0.050,"2.1333268068827183,-2.533321711832714",240,1206,241,True,0.005887746810913086
quadratic,adam_method,0.010,"2.1333084625309335,-2.5332897380454966",967,4841,968,True,0.02284073829650879
quadratic,adam_method,0.005,"2.09730073286047,-2.47068881530716",1000,5001,1000,False,0.023642539978027344
quadratic,adam_method,0.001,"0.8820301688955874,-0.9119553197968226",1000,5001,1000,False,0.02189159393310547
strong_convex,adam_method,0.100,"1.5000191351570247,-0.020000464001512116",214,1076,215,True,0.0048046112060546875
strong_convex,adam_method,0.050,"1.4999778548145297,-0.020000228381196788",212,1066,213,True,0.005086660385131836
strong_convex,adam_method,0.010,"1.4999708414768564,-0.020000000000142116",568,2846,569,True,0.011873960494995117
strong_convex,adam_method,0.005,"1.4995541986308016,-0.019999999999851078",1000,5001,1000,False,0.019429683685302734
strong_convex,adam_method,0.001,"0.836063909012951,-0.019999999999976762",1000,5001,1000,False,0.021093130111694336
rosenbrock,adam_method,0.100,"0.9987026362843978,0.9973521967644645",1000,5001,1000,False,0.018959522247314453
rosenbrock,adam_method,0.050,"0.9987691301524706,0.9974289986771399",1000,5001,1000,False,0.01891326904296875
rosenbrock,adam_method,0.010,"0.9999837407289418,0.9999674317078706",638,3196,639,True,0.01349639892578125
rosenbrock,adam_method,0.005,"0.9999749110599205,0.9999497784704042",973,4871,974,True,0.018687725067138672
rosenbrock,adam_method,0.001,"0.7396709423427825,0.5470724216181061",1000,5001,1000,False,0.020732641220092773
