function_name,method_name,step,min,n_iter,n_fev,n_gev,converged,time_sec
quadratic,nesterov_method,0.100,"2.133326775927614,-2.533326773872986",95,481,96,True,0.0021963119506835938
quadratic,nesterov_method,0.050,"2.1333543649858244,-2.533354296166756",126,636,127,True,0.0027141571044921875
quadratic,nesterov_method,0.010,"2.133252607485389,-2.5332458931115687",169,851,170,True,0.0034859180450439453
quadratic,nesterov_method,0.005,"2.1332550237885544,-2.5332535447147673",181,911,182,True,0.003751516342163086
quadratic,nesterov_method,0.001,"2.133293158154404,-2.533293158114326",630,3156,631,True,0.012521505355834961
strong_convex,nesterov_method,0.100,"1.233119949257033,-514.0839999072825",3,21,4,False,0.0002503395080566406
strong_convex,nesterov_method,0.050,"1.0581166609916026,998.5642008969224",4,26,5,False,0.000316619873046875
strong_convex,nesterov_method,0.010,"1.5944400466244817,6040.137964096715",16,86,17,False,0.0005476474761962891
strong_convex,nesterov_method,0.005,"1.500034611500184,-0.020000000000025706",181,911,182,True,0.003319263458251953
strong_convex,nesterov_method,0.001,"1.4999610365657472,-0.01999999999994884",422,2116,423,True,0.006869792938232422
rosenbrock,nesterov_method,0.100,"-1.690880001527506,2.8880000000097716",2,16,3,False,0.0003104209899902344
rosenbrock,nesterov_method,0.050,"2.4124875488998607,-5.903293096713669",3,21,4,False,0.00023221969604492188
rosenbrock,nesterov_method,0.010,"-2.0799386843837264,1.7389293079085664",10,56,11,False,0.00038695335388183594
rosenbrock,nesterov_method,0.005,"-2.580983206267041,1.8192072746141181",28,146,29,False,0.0007081031799316406
rosenbrock,nesterov_method,0.001,"0.9953607908675802,0.9907244879488507",1000,5001,1000,False,0.0165708065032959
