function_name,method_name,step,min,n_iter,n_fev,n_gev,converged,time_sec
quadratic,rmsprop_method,0.100,"2.1333330084251445,-2.5333326948454395",54,276,55,True,0.001661539077758789
quadratic,rmsprop_method,0.050,"2.133332973511663,-2.533332506578611",88,446,89,True,0.002309083938598633
quadratic,rmsprop_method,0.010,"2.138332933320715,-2.5283337332798332",1000,5001,1000,False,0.020044565200805664
quadratic,rmsprop_method,0.005,"2.1308337334946765,-2.535832933236421",1000,5001,1000,False,0.019072771072387695
quadratic,rmsprop_method,0.001,"1.0029784614340194,-1.0049475512423123",1000,5001,1000,False,0.01837754249572754
strong_convex,rmsprop_method,0.100,"1.5000000000019722,0.029999995000306742",1000,5001,1000,False,0.020551204681396484
strong_convex,rmsprop_method,0.050,"1.5000000000032752,0.00499999499971325",1000,5001,1000,False,0.01964592933654785
strong_convex,rmsprop_method,0.010,"1.4999999999969797,-0.015000004999732038",1000,5001,1000,False,0.017673730850219727
strong_convex,rmsprop_method,0.005,"1.4999999999927325,-0.022499995000125138",1000,5001,1000,False,0.0177614688873291
strong_convex,rmsprop_method,0.001,"0.9994188130344632,-0.01950000500009079",1000,5001,1000,False,0.020084142684936523
rosenbrock,rmsprop_method,0.100,"0.3000000753440393,0.015000043705252458",1000,5001,1000,False,0.017630338668823242
rosenbrock,rmsprop_method,0.050,"0.6660126438367648,0.5031019270321474",1000,5001,1000,False,0.01622796058654785
rosenbrock,rmsprop_method,0.010,"0.8982277692859172,0.82056861014291",1000,5001,1000,False,0.016118526458740234
rosenbrock,rmsprop_method,0.005,"0.9031699979487291,0.8224275228953558",1000,5001,1000,False,0.018144607543945312
rosenbrock,rmsprop_method,0.001,"0.8189003333186494,0.6686806464662544",1000,5001,1000,False,0.019405603408813477
